"Relation","Tau","Layer","Direction"
"Disease — PROMOTES — Disease",2.063,"Layer 0","Suppressed"
"Protein — PROMOTES — Disease",1.996,"Layer 0","Suppressed"
"Protein — PROMOTES — Cell",1.734,"Layer 0","Suppressed"
"Cytokine — PROMOTES — Cell",1.642,"Layer 0","Suppressed"
"Protein — ASSOCIATED WITH — Disease",1.143,"Layer 0","Neutral"
"Disease — ASSOCIATED WITH — Disease",1.043,"Layer 0","Neutral"
"Metabolite — PROMOTES — Disease",1.024,"Layer 0","Neutral"
"Protein — ACTIVATES — Protein",0.963,"Layer 0","Neutral"
"Cell — PROMOTES — Disease",0.948,"Layer 0","Neutral"
"Gene — ASSOCIATED WITH — Disease",0.873,"Layer 0","Neutral"
"Metabolite — ASSOCIATED WITH — Disease",0.841,"Layer 0","Neutral"
"Disease — INDUCES — Disease",0.762,"Layer 0","Neutral"
"Protein — INHIBITS — Disease",0.718,"Layer 0","Neutral"
"Drug — INHIBITS — Protein",0.695,"Layer 0","Neutral"
"Protein — BINDS TO — Protein",0.561,"Layer 0","Neutral"
"Protein — INHIBITS — Protein",0.534,"Layer 0","Neutral"
"Protein — INHIBITS — Cell",0.502,"Layer 0","Neutral"
"Metabolite — INHIBITS — Cell",0.487,"Layer 0","Amplified"
"Drug — INHIBITS — Cell",0.462,"Layer 0","Amplified"
"Cytokine — PROMOTES — Disease",0.451,"Layer 0","Amplified"
