"Target","Score","Degree","Novelty"
"Renin",36.28,40,"Novel Mechanism"
"C3",30.67,86,"Underexplored"
"MMP-2",30.46,154,"Underexplored"
"PAR-2",29.74,49,"Novel Mechanism"
"TSP-1",28.18,43,"Underexplored"
"ERP5",25.87,9,"Novel Mechanism"
"Factor IX",25.59,154,"Known"
"MMP-9",23.6,294,"Underexplored"
"iNOS",23.23,92,"Underexplored"
"Factor X",22.66,245,"Known"
"TLR5 variant",21.87,2,"Emerging"
"Coag. Factors",21.28,116,"Known"
"IL-10 variant",21.26,2,"Emerging"
"C5",20.53,70,"Underexplored"
"BDNF variant",19.8,2,"Emerging"
