cell_type,condition,n_cells,gene,mean_expr,mean_expr_pos,pct_positive
B_cell,Control,104,Sell,0.798811,3.925072,25.96
B_cell,Control,104,Fn1,-0.911102,0.542128,3.85
B_cell,Control,104,Col1a1,-1.143386,0.426385,3.85
B_cell,Control,104,Tlr4,-0.31777,3.49899,1.92
B_cell,Control,104,Tnf,-0.25332,0.0,0.0
B_cell,Control,104,Runx2,-0.313466,0.0,0.0
B_cell,Control,104,Dnmt3a,-0.533001,2.808763,2.88
B_cell,Control,104,Stat3,-0.706971,0.992062,16.35
B_cell,Control,104,Ccl2,-0.276136,0.0,0.0
B_cell,Control,104,Acta2,-0.36072,1.31124,5.77
B_cell,Control,104,Il6,-0.290283,0.0,0.0
B_cell,Control,104,Prkca,-0.26605,2.207571,10.58
B_cell,Control,104,Rela,-0.39714,2.436233,6.73
B_cell,Control,104,Spp1,-0.10627,5.664109,0.96
B_cell,Control,104,Tgfb1,0.517987,2.860843,29.81
B_cell,Control,104,Smad4,-0.226803,2.701945,11.54
B_cell,Control,104,Nfkb1,-0.215602,1.53755,25.96
B_cell,DVT,618,Sell,1.746665,3.201866,58.41
B_cell,DVT,618,Fn1,-0.639701,0.413268,19.26
B_cell,DVT,618,Col1a1,-0.443575,0.687781,14.4
B_cell,DVT,618,Tlr4,-0.267806,1.944599,5.34
B_cell,DVT,618,Tnf,-0.187056,2.47677,2.43
B_cell,DVT,618,Runx2,-0.250482,1.735179,3.07
B_cell,DVT,618,Dnmt3a,-0.107107,1.488949,24.76
B_cell,DVT,618,Stat3,0.4051,1.056833,67.31
B_cell,DVT,618,Ccl2,-0.181178,2.391333,3.56
B_cell,DVT,618,Acta2,-0.299737,0.763296,13.27
B_cell,DVT,618,Il6,-0.197208,2.448806,3.4
B_cell,DVT,618,Prkca,0.320781,1.70585,38.83
B_cell,DVT,618,Rela,-0.052211,1.603124,24.92
B_cell,DVT,618,Spp1,-0.049445,3.50823,3.07
B_cell,DVT,618,Tgfb1,0.609524,2.1255,41.75
B_cell,DVT,618,Smad4,-0.054966,1.613769,24.92
B_cell,DVT,618,Nfkb1,0.750546,1.383484,71.2
Endothelial,Control,3210,Sell,-0.296596,2.31912,0.03
Endothelial,Control,3210,Fn1,-0.798316,0.382924,12.18
Endothelial,Control,3210,Col1a1,-1.170674,0.219135,0.97
Endothelial,Control,3210,Tlr4,-0.177096,3.472166,5.58
Endothelial,Control,3210,Tnf,-0.252138,3.541011,0.03
Endothelial,Control,3210,Runx2,-0.308886,3.362265,0.12
Endothelial,Control,3210,Dnmt3a,-0.420974,2.205526,7.45
Endothelial,Control,3210,Stat3,-0.463678,0.904901,29.6
Endothelial,Control,3210,Ccl2,-0.258436,3.78211,0.44
Endothelial,Control,3210,Acta2,-0.285763,1.434257,9.35
Endothelial,Control,3210,Il6,-0.284809,2.638677,0.19
Endothelial,Control,3210,Prkca,-0.507184,2.104887,1.93
Endothelial,Control,3210,Rela,-0.250971,2.376044,11.78
Endothelial,Control,3210,Spp1,-0.136158,6.828803,0.37
Endothelial,Control,3210,Tgfb1,-0.056346,2.324027,15.02
Endothelial,Control,3210,Smad4,-0.350244,2.431504,8.5
Endothelial,Control,3210,Nfkb1,-0.572929,1.245785,12.4
Endothelial,DVT,1639,Sell,-0.261145,1.353686,2.2
Endothelial,DVT,1639,Fn1,-0.27063,0.572169,33.25
Endothelial,DVT,1639,Col1a1,-0.551061,0.402668,6.28
Endothelial,DVT,1639,Tlr4,0.072878,1.774812,21.48
