UMAP1,UMAP2,cell_type,condition
8.578701,0.570984,Endothelial,Control
2.9160514,-6.1378875,Fibroblast,Control
8.979836,1.3288201,Endothelial,Control
2.22534,-6.7939816,Fibroblast,Control
-2.4142215,6.394454,Fibroblast,Control
8.980332,4.0057673,Endothelial,Control
-0.06328935,-8.343148,Fibroblast,Control
7.0818243,0.51434124,Endothelial,Control
7.7478533,0.3019714,Endothelial,Control
8.456783,1.7366467,Endothelial,Control
9.849511,1.7724162,Endothelial,Control
2.3948524,-7.073701,Fibroblast,Control
-0.3844577,-8.431905,Erythrocyte,Control
8.046819,0.9959716,Endothelial,Control
8.4005785,2.0345492,Endothelial,Control
7.1805696,0.7377547,Endothelial,Control
0.7524285,-7.88353,Fibroblast,Control
9.535045,2.4839613,Endothelial,Control
7.13348,1.1483134,Endothelial,Control
7.647931,1.5868031,Endothelial,Control
9.425475,1.7406404,Endothelial,Control
-2.959089,8.136263,Fibroblast,Control
3.6691732,-6.4361696,Fibroblast,Control
8.637767,1.3526435,Endothelial,Control
0.96638334,-7.0261183,Fibroblast,Control
3.9153593,-6.30259,Fibroblast,Control
3.835147,-6.337817,Fibroblast,Control
8.182133,0.9225742,Endothelial,Control
8.420772,3.5657218,Endothelial,Control
9.252004,0.7660384,Endothelial,Control
7.890842,1.4545661,Endothelial,Control
8.888009,1.8538815,Endothelial,Control
0.81785554,-7.418974,Fibroblast,Control
7.3860745,2.1269674,Endothelial,Control
8.623338,0.57529145,Endothelial,Control
-6.510344,11.811536,Neutrophil,Control
9.180123,0.67398244,Endothelial,Control
8.256977,0.9046991,Endothelial,Control
1.1219199,-8.984636,Fibroblast,Control
9.193344,1.8338473,Endothelial,Control
4.080268,2.109339,Endothelial,Control
-5.7008977,0.89556545,VSMC,Control
7.428769,1.2736123,Endothelial,Control
0.052082736,-9.096185,Fibroblast,Control
7.881111,1.3029178,Endothelial,Control
8.866997,1.6936657,Endothelial,Control
0.34224087,-8.145327,Fibroblast,Control
3.0868008,-6.494602,Fibroblast,Control
7.5662518,4.323452,Endothelial,Control
0.16920951,12.249753,Fibroblast,Control
8.7521305,0.45541307,Endothelial,Control
9.423847,1.4184709,Endothelial,Control
9.363832,1.1876051,Endothelial,Control
7.4276595,1.0559034,Endothelial,Control
8.109495,1.0964087,Endothelial,Control
3.5834386,-6.2550473,Fibroblast,Control
0.39622033,12.516232,Fibroblast,Control
8.324442,2.7936616,Endothelial,Control
-2.0091224,7.3659487,Fibroblast,Control
0.64598024,-8.228094,Fibroblast,Control
8.405515,0.5414062,Endothelial,Control
0.17008282,-9.214188,Fibroblast,Control
2.3883846,-7.3498034,Fibroblast,Control
7.858087,0.44590074,Endothelial,Control
4.010674,2.0998847,Endothelial,Control
8.783,4.298837,Endothelial,Control
-10.885135,4.2316413,Fibroblast,Control
0.75811774,-8.559308,Fibroblast,Control
8.36908,2.123065,Endothelial,Control
8.555607,0.6398562,Endothelial,Control
9.741454,2.908339,Endothelial,Control
8.309861,2.3007448,Endothelial,Control
7.8435693,1.8625382,Endothelial,Control
3.8847253,-5.9644403,Fibroblast,Control
-3.12943,9.581028,Monocyte,Control
1.2094619,-7.9372425,Fibroblast,Control
-4.8118815,4.4888616,Fibroblast,Control
8.091278,0.38837028,Endothelial,Control
-0.0028626819,-7.8926277,Fibroblast,Control
9.665462,1.3160198,Endothelial,Control
1.7185917,-7.771891,Fibroblast,Control
9.595386,1.6258345,Endothelial,Control
-0.15981416,-7.973427,Fibroblast,Control
5.234821,9.811978,B_cell,Control
1.2427859,-8.051274,Fibroblast,Control
7.8017964,1.2421713,Endothelial,Control
8.737195,2.9618099,Endothelial,Control
0.5815031,-8.318216,Fibroblast,Control
8.833735,0.6871786,Endothelial,Control
5.225458,10.095512,B_cell,Control
7.6921906,1.0608038,Endothelial,Control
4.5625587,-4.9208302,Fibroblast,Control
0.87903947,-9.6332655,Fibroblast,Control
7.659975,0.6976324,Endothelial,Control
0.19224553,-8.490564,Fibroblast,Control
-11.720722,0.3061967,Erythrocyte,Control
2.922247,-6.7615333,Fibroblast,Control
8.290201,1.6351194,Endothelial,Control
9.548975,2.9753294,Endothelial,Control
2.2904236,-7.6602,Fibroblast,Control
1.99701,-8.060771,Fibroblast,Control
3.4580226,-6.246724,Fibroblast,Control
4.019927,-5.9850283,Fibroblast,Control
0.9422104,-7.209472,Fibroblast,Control
8.253482,1.1562555,Endothelial,Control
3.0081558,-6.728439,Fibroblast,Control
8.222375,3.0475647,Endothelial,Control
7.369355,0.6681883,Endothelial,Control
1.0237907,-8.983369,Fibroblast,Control
0.49770007,-8.885296,Fibroblast,Control
7.1556706,1.2454246,Endothelial,Control
3.7454865,-6.4539943,Fibroblast,Control
8.616555,1.3576472,Endothelial,Control
9.331183,1.97744,Endothelial,Control
8.108725,0.42035967,Endothelial,Control
5.180761,9.809397,B_cell,Control
7.9454203,1.7062709,Endothelial,Control
7.5385437,0.30052608,Endothelial,Control
6.050406,0.3608858,Endothelial,Control
7.5176597,1.4787481,Endothelial,Control
1.8270983,-7.5158234,Fibroblast,Control
8.182058,4.300737,Endothelial,Control
7.6069884,1.755947,Endothelial,Control
-6.7423954,-1.2460182,VSMC,Control
0.6750153,-7.086408,Fibroblast,Control
2.278946,-7.017982,Fibroblast,Control
-5.1770225,4.2734966,Fibroblast,Control
8.010085,2.995761,Endothelial,Control
4.727444,-5.251709,Fibroblast,Control
7.5672994,2.7375565,Endothelial,Control
1.1297115,-7.3577065,Fibroblast,Control
7.978399,2.3629966,Endothelial,Control
8.071591,3.7437766,Endothelial,Control
9.239931,0.38874876,Endothelial,Control
5.204075,1.9119174,Endothelial,Control
1.9286267,-7.7989388,Fibroblast,Control
7.011674,2.0365996,Endothelial,Control
3.4213984,-5.9048753,Fibroblast,Control
5.71024,2.0253184,Endothelial,Control
9.260563,3.115794,Endothelial,Control
8.084972,3.7168047,Endothelial,Control
8.924161,2.1290565,Endothelial,Control
7.808199,1.4372478,Endothelial,Control
0.35397282,-7.5272546,Fibroblast,Control
7.4453793,1.670759,Endothelial,Control
8.449586,3.7788436,Endothelial,Control
8.1672125,0.18138023,Endothelial,Control
4.726212,1.9960569,Endothelial,Control
8.408891,4.6480627,Endothelial,Control
8.848727,0.10231682,Endothelial,Control
9.266774,2.7164018,Endothelial,Control
9.193973,1.4883841,Endothelial,Control
1.420142,2.3552876,Endothelial,Control
-0.103295654,12.339703,Fibroblast,Control
6.181495,1.4264257,Endothelial,Control
2.5887504,-6.89379,Fibroblast,Control
0.2360352,-9.097722,Fibroblast,Control
8.704609,0.69263816,Endothelial,Control
-0.23539726,-8.492439,Fibroblast,Control
-2.0485084,7.1444907,Fibroblast,Control
1.2687812,-7.683376,Fibroblast,Control
9.0536785,3.5369911,Endothelial,Control
0.6087265,-8.592652,Fibroblast,Control
8.849223,1.7968633,Endothelial,Control
-0.21910739,3.4824002,Endothelial,Control
9.250383,1.5052785,Endothelial,Control
7.737716,1.4415708,Endothelial,Control
8.077208,2.682758,Endothelial,Control
8.587804,0.9450168,Endothelial,Control
-0.03136304,14.190146,Fibroblast,Control
9.46008,2.3887286,Endothelial,Control
7.457499,0.27462986,Endothelial,Control
7.5105743,1.3401428,Endothelial,Control
1.2622555,3.2344098,Endothelial,Control
-0.079778954,-8.561052,Fibroblast,Control
0.5696445,-7.715731,Fibroblast,Control
-0.28217417,-7.5013633,Fibroblast,Control
8.358399,2.4728458,Endothelial,Control
0.66583234,-9.150975,Fibroblast,Control
8.814245,2.169189,Endothelial,Control
5.9788084,-1.004178,Fibroblast,Control
8.680849,0.18606953,Endothelial,Control
0.27456236,-8.415745,Fibroblast,Control
9.126579,2.5231004,Endothelial,Control
1.8490075,-7.896696,Fibroblast,Control
6.673962,0.42102352,Endothelial,Control
0.3532611,12.385795,Fibroblast,Control
0.97739345,-8.551901,Fibroblast,Control
4.732972,-4.989804,Fibroblast,Control
8.607342,0.4863245,Endothelial,Control
8.550199,1.0945826,Endothelial,Control
8.437208,2.0336626,Endothelial,Control
1.0795741,-7.7302055,Fibroblast,Control
4.1136293,-5.6533794,Fibroblast,Control
9.511997,1.3010151,Endothelial,Control
8.239154,2.2059293,Endothelial,Control
9.2268915,1.2863779,Endothelial,Control
3.3543823,-6.634364,Fibroblast,Control
3.9276,2.1543355,Endothelial,Control
0.35617194,-8.378718,Fibroblast,Control
1.1232256,-7.7322154,Fibroblast,Control
9.414466,1.1397539,Endothelial,Control
8.284913,2.557033,Endothelial,Control
8.600483,2.4965363,Endothelial,Control
0.6851324,-9.338758,Fibroblast,Control
1.1514784,-7.288156,Fibroblast,Control
6.811458,1.1554217,Endothelial,Control
8.071365,0.22345902,Endothelial,Control
8.543133,3.2717636,Endothelial,Control
9.096916,2.2854667,Endothelial,Control
9.370374,1.6104484,Endothelial,Control
9.504811,1.4262043,Endothelial,Control
0.40632567,-8.29243,Fibroblast,Control
-2.7976382,7.470371,Fibroblast,Control
0.34839466,-8.8339,Fibroblast,Control
9.088129,4.178886,Endothelial,Control
1.9513339,-7.5249624,Fibroblast,Control
8.396817,1.4562944,Endothelial,Control
1.4308982,-7.729965,Fibroblast,Control
8.7247095,1.3853384,Endothelial,Control
8.105175,2.920635,Endothelial,Control
9.352362,1.4128468,Endothelial,Control
0.99513525,-7.9531255,Fibroblast,Control
0.064547546,-8.775478,Fibroblast,Control
0.24466719,-8.833457,Fibroblast,Control
1.6618297,2.9931123,Endothelial,Control
8.108135,3.923846,Endothelial,Control
0.2699167,-7.1325636,Fibroblast,Control
8.757093,4.260875,Endothelial,Control
9.079554,1.2494938,Endothelial,Control
9.05292,1.6253358,Endothelial,Control
7.5337915,1.6645098,Endothelial,Control
1.8096794,-6.6092215,Fibroblast,Control
8.668877,4.158998,Endothelial,Control
0.93348825,-7.880949,Fibroblast,Control
9.482008,2.9184797,Endothelial,Control
9.179204,3.0485504,Endothelial,Control
2.1633124,15.520582,Fibroblast,Control
8.503594,4.404242,Endothelial,Control
9.067164,0.7639489,Endothelial,Control
8.411928,4.318263,Endothelial,Control
5.73365,-0.9866122,Fibroblast,Control
9.063719,2.6175752,Endothelial,Control
8.539766,4.9131694,Endothelial,Control
1.3144089,-7.651761,Fibroblast,Control
7.9418564,2.5375423,Endothelial,Control
3.288846,-6.428686,Fibroblast,Control
8.277692,1.3884127,Endothelial,Control
5.0193467,9.437753,B_cell,Control
8.649943,2.355111,Endothelial,Control
-0.3262739,-5.04549,Fibroblast,Control
5.8976073,-1.4528084,Fibroblast,Control
1.5815376,-7.4666905,Fibroblast,Control
8.28458,1.545163,Endothelial,Control
-11.746767,0.32486925,Erythrocyte,Control
5.5924892,-1.0589237,Fibroblast,Control
8.082952,0.7390795,Endothelial,Control
1.3427035,-7.4489937,Fibroblast,Control
9.352978,0.96392715,Endothelial,Control
8.371912,0.673725,Endothelial,Control
8.578139,0.23409986,Endothelial,Control
7.712232,0.34686023,Endothelial,Control
9.4320755,1.8242575,Endothelial,Control
8.284597,0.5739917,Endothelial,Control
8.449619,2.9728901,Endothelial,Control
8.330389,3.2482018,Endothelial,Control
5.956131,-1.1436851,Fibroblast,Control
0.11882257,-8.200949,Fibroblast,Control
8.865051,0.58582234,Endothelial,Control
6.316371,-0.08711881,Erythrocyte,Control
0.2873617,-7.2143993,Fibroblast,Control
8.595092,3.4750235,Endothelial,Control
8.681128,3.7286892,Endothelial,Control
5.1795163,9.838545,B_cell,Control
8.084678,1.7898636,Endothelial,Control
0.19716413,-8.14623,Fibroblast,Control
8.962632,3.7498584,Endothelial,Control
2.1840355,-6.593101,Fibroblast,Control
7.823427,2.4671218,Endothelial,Control
7.645769,3.2054641,Endothelial,Control
8.716686,1.8916456,Endothelial,Control
8.4955,2.6999452,Endothelial,Control
8.407594,2.3204305,Endothelial,Control
5.5317354,10.422107,B_cell,Control
6.6749783,1.1307713,Endothelial,Control
3.8822732,-5.6907473,Fibroblast,Control
3.5021312,3.954457,Endothelial,Control
0.16214865,-7.679246,Fibroblast,Control
0.37380186,-7.809698,Fibroblast,Control
4.870484,1.9634541,Endothelial,Control
