"cell_label","Group","Pct"
"Activated_Fib","DVT",0.63
"Bcell","DVT",0.54
"DC","DVT",0
"EC","DVT",4.63
"Myofibroblast","DVT",0.73
"Neut","DVT",0
"NK","DVT",4.23
"Other","DVT",0
"Peri","DVT",0.52
"Quiescent_Fib","DVT",1.22
"Resident_Mac","DVT",0.46
"Spp1+_Fibrogenic_Mac","DVT",1.06
"Tcell","DVT",11.24
"Trem2+_Lipid_Mac","DVT",0.86
"VSMC","DVT",0.58
"Activated_Fib","Sham",0.11
"Bcell","Sham",0
"DC","Sham",0
"EC","Sham",1.31
"Myofibroblast","Sham",0
"Neut","Sham",0
"NK","Sham",0.72
"Other","Sham",0
"Peri","Sham",0
"Quiescent_Fib","Sham",0.17
"Resident_Mac","Sham",0
"Spp1+_Fibrogenic_Mac","Sham",0
"Tcell","Sham",1.39
"Trem2+_Lipid_Mac","Sham",0
"VSMC","Sham",0
