"CellType","Gene","Rho"
"EC","Fut8",0.0551445735259416
"EC","Lgals3",0.0420213111636994
"EC","Cd44",0.0328208603036398
"EC","Rhoa",0.0559563709659171
"EC","Rock1",0.0476129530461724
"EC","Rock2",0.0814565977434808
"EC","Nfkb1",0.0662497567150131
"EC","Rela",0.0810964221883601
"EC","Stat3",0.0336022933249011
"EC","Tgfb1",0.0727521698850907
"EC","Selp",-0.0186177312771763
"Activated_Fib","Fut8",0.0439928476775034
"Activated_Fib","Lgals3",-0.012426239755148
"Activated_Fib","Cd44",0.0108653132970058
"Activated_Fib","Rhoa",0.00937007423606554
"Activated_Fib","Rock1",0.0200109011940459
"Activated_Fib","Rock2",-0.0131691418765891
"Activated_Fib","Nfkb1",-0.0059280111144964
"Activated_Fib","Rela",0.00334282639381609
"Activated_Fib","Stat3",0.00199590159352061
"Activated_Fib","Tgfb1",0.0189219062263667
"Activated_Fib","Selp",0.0228281011711075
"Quiescent_Fib","Fut8",0.134303198821479
"Quiescent_Fib","Lgals3",-0.00255445547720615
"Quiescent_Fib","Cd44",0.0998661771822744
"Quiescent_Fib","Rhoa",0.00414572783281274
"Quiescent_Fib","Rock1",0.0452563009457109
"Quiescent_Fib","Rock2",0.00142505780996706
"Quiescent_Fib","Nfkb1",0.014789551925556
"Quiescent_Fib","Rela",0.0185681920157331
"Quiescent_Fib","Stat3",0.026949688172588
"Quiescent_Fib","Tgfb1",0.0239029860404481
"Quiescent_Fib","Selp",0.0536779277109411
"Trem2+_Lipid_Mac","Fut8",0.0737335384963259
"Trem2+_Lipid_Mac","Lgals3",-0.00428740831807967
"Trem2+_Lipid_Mac","Cd44",0.0352008904246794
"Trem2+_Lipid_Mac","Rhoa",0.00862007169097513
"Trem2+_Lipid_Mac","Rock1",0.0959220683625686
"Trem2+_Lipid_Mac","Rock2",0.0158002494989389
"Trem2+_Lipid_Mac","Nfkb1",0.0587742789211788
"Trem2+_Lipid_Mac","Rela",-0.00156782127535058
"Trem2+_Lipid_Mac","Stat3",0.0298731744984321
"Trem2+_Lipid_Mac","Tgfb1",-0.0135696131478744
"Trem2+_Lipid_Mac","Selp",-0.0192726802241231
"Resident_Mac","Fut8",0.0386923269145633
"Resident_Mac","Lgals3",-0.0352523120158752
"Resident_Mac","Cd44",-0.0147356634838432
"Resident_Mac","Rhoa",-0.0168170436180067
"Resident_Mac","Rock1",-0.012685687438762
"Resident_Mac","Rock2",0.0119590548532366
"Resident_Mac","Nfkb1",0.0386371509823164
"Resident_Mac","Rela",0.0112870082983914
"Resident_Mac","Stat3",0.00920196499476735
"Resident_Mac","Tgfb1",-0.00290013624941148
"Resident_Mac","Selp",-0.0108510125757758
"NK","Fut8",0.0691822371352726
"NK","Lgals3",0.000873237261936634
"NK","Cd44",-0.0147050485548545
"NK","Rhoa",0.0102481093780518
"NK","Rock1",0.015295431712855
"NK","Rock2",0.0658455648887304
"NK","Nfkb1",-0.000997450308932353
"NK","Rela",0.00501465186523356
"NK","Stat3",0.0552057915551668
"NK","Tgfb1",0.046073056775807
"NK","Selp",0.0594861731153231
"Myofibroblast","Fut8",0.102006842288684
"Myofibroblast","Lgals3",-0.0124884796786314
"Myofibroblast","Cd44",0.00124736233682909
"Myofibroblast","Rhoa",0.0270470726641492
"Myofibroblast","Rock1",0.0256166690128005
"Myofibroblast","Rock2",0.0318767273285364
"Myofibroblast","Nfkb1",0.079972037544651
"Myofibroblast","Rela",-0.017140263213878
"Myofibroblast","Stat3",0.0570353008120233
"Myofibroblast","Tgfb1",0.0550590460690054
"Myofibroblast","Selp",0.0603648045217311
"VSMC","Fut8",-0.00569789929093411
"VSMC","Lgals3",0.0225181407251614
"VSMC","Cd44",-0.0215940394431905
"VSMC","Rhoa",-0.0592869589982247
"VSMC","Rock1",0.0457827194215843
"VSMC","Rock2",0.0738866024925916
"VSMC","Nfkb1",0.0631985447159763
"VSMC","Rela",0.0288009216887509
"VSMC","Stat3",0.0497967952556843
"VSMC","Tgfb1",-0.0276158617284153
"VSMC","Selp",-0.0117638867724939
"Tcell","Fut8",0.0322810228453234
"Tcell","Lgals3",0.0123674889379553
"Tcell","Cd44",0.034273070468198
"Tcell","Rhoa",0.071665324364263
"Tcell","Rock1",0.0398763031577509
"Tcell","Rock2",0.120272534933451
"Tcell","Nfkb1",0.0277009614566535
"Tcell","Rela",0.0272944200712106
"Tcell","Stat3",0.0313979192259379
"Tcell","Tgfb1",0.0708984699248728
"Tcell","Selp",0.0361715403561156
"Spp1+_Fibrogenic_Mac","Fut8",-0.0106685090401959
"Spp1+_Fibrogenic_Mac","Lgals3",0.0498876043370798
"Spp1+_Fibrogenic_Mac","Cd44",0.0294911101992757
"Spp1+_Fibrogenic_Mac","Rhoa",0.0495396836059547
"Spp1+_Fibrogenic_Mac","Rock1",0.0109342206176278
"Spp1+_Fibrogenic_Mac","Rock2",-0.0444775509902912
"Spp1+_Fibrogenic_Mac","Nfkb1",0.00137918571379999
"Spp1+_Fibrogenic_Mac","Rela",0.0156013736098346
"Spp1+_Fibrogenic_Mac","Stat3",-0.0196141554861962
"Spp1+_Fibrogenic_Mac","Tgfb1",0.00972068716676489
"Spp1+_Fibrogenic_Mac","Selp",-0.0184893075040291
