"Description","NES","p.adjust","CellType"
"extracellular matrix organization",-3.01072959509642,1.96739130434783e-08,"Quiescent Fibroblast"
"external encapsulating structure organization",-3.01072959509642,1.96739130434783e-08,"Quiescent Fibroblast"
"extracellular structure organization",-2.95435134643704,1.96739130434783e-08,"Quiescent Fibroblast"
"axon guidance",-2.55430203422589,1.96739130434783e-08,"Quiescent Fibroblast"
"neuron projection guidance",-2.54868585050479,1.96739130434783e-08,"Quiescent Fibroblast"
"B cell receptor signaling pathway",2.21515871328168,0.000329226140404743,"Activated Fibroblast"
"T cell migration",2.21364749966382,0.000172662969858225,"Activated Fibroblast"
"interleukin-10 production",2.18932045229367,0.000548207781783081,"Activated Fibroblast"
"regulation of interleukin-10 production",2.18932045229367,0.000548207781783081,"Activated Fibroblast"
"positive regulation of type II interferon production",2.17839422820218,0.000372571797963356,"Activated Fibroblast"
