"TF","R","Pval","FDR","Key"
"Gabpa",0.131979185717487,1.66523886908363e-41,4.16309717270906e-39,TRUE
"Zfx",0.111780675667321,3.4885977436206e-30,4.36074717952576e-28,FALSE
"Ncoa1",0.107830485819141,3.4229053393091e-28,2.85242111609091e-26,FALSE
"Crem",0.104722479325815,1.12394858553403e-26,5.61974292767015e-25,TRUE
"Elf1",0.103888272379173,2.81936644824101e-26,1.17473602010042e-24,TRUE
"Rbpj",0.102600576321003,1.14915975699443e-25,4.1041419892658e-24,TRUE
"Mef2c",0.101104299904877,5.75253031540401e-25,1.79766572356375e-23,TRUE
"Ncoa2",0.100051084911629,1.76212420718435e-24,4.0048277436008e-23,FALSE
"Gfi1b",0.0986753736928158,7.47138765877196e-24,1.43680531899461e-22,FALSE
"Arid2",0.0955588375008017,1.83019128901747e-22,3.05031881502912e-21,FALSE
"Zfp384",0.0943093420414155,6.41083738224489e-22,9.42770203271307e-21,FALSE
"Klf6",0.0915526473707923,9.61100803880116e-21,1.14416762366681e-19,TRUE
"Foxk2",0.0907379146525338,2.10688223147407e-20,2.3941843539478e-19,FALSE
"Pbx2",0.0906340137620619,2.32751701806477e-20,2.52990980224432e-19,FALSE
"Irf4",0.0900865047481948,3.92644895656713e-20,4.09005099642409e-19,FALSE
"Nfatc1",0.0892685923953402,8.52556170182513e-20,8.52556170182513e-19,FALSE
"Tcf7",0.0868159629819426,8.35904235665435e-19,7.46343067558424e-18,FALSE
"Atf7",0.0851811130170777,3.69664605852294e-18,3.18676384355426e-17,FALSE
"Mef2a",0.0848441431342878,5.00468677113259e-18,4.17057230927716e-17,FALSE
"Max",0.0842380695465037,8.60435536574493e-18,6.93899626269752e-17,FALSE
"Ncoa3",0.0833376580944731,1.91105227201744e-17,1.49300958751363e-16,FALSE
"Cux1",0.0821537292038242,5.38702225568748e-17,3.9610457762408e-16,FALSE
"Otx2",0.081936273010624,6.5061596815005e-17,4.6472569153575e-16,FALSE
"Sp2",0.0808979825546613,1.59140745973733e-16,1.07527531063333e-15,FALSE
"Cebpg",0.0785212208182334,1.18202059097723e-15,7.38762869360768e-15,FALSE
